[2020-07-30 12:45:53,726] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 12:47:13,411] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 12:48:43,428] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 12:48:49,369] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 12:49:06,204] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 12:49:14,656] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 13:02:22,162] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 13:09:52,734] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 13:10:25,031] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 13:55:46,715] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:03:24,140] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:03:50,494] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:04:34,428] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:17:00,574] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:19:16,228] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:24:00,314] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:24:14,251] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:25:31,299] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:25:38,205] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:25:46,583] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 14:31:07,144] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:31:30,476] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:31:45,016] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 14:40:17,278] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:40:30,158] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 14:41:42,533] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:43:48,372] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 14:44:00,334] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 14:47:01,193] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:47:21,619] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:48:53,350] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 14:49:00,215] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 17:14:58,786] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:15:20,821] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 17:19:14,398] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:19:24,841] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 17:19:51,658] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:19:59,649] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 17:22:18,171] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:22:27,278] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
[2020-07-30 17:27:20,163] kiwoom.py    | kiwoom    | __init__             | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:27:35,053] trading.py   | trading   | __init__             | 0021 | INFO     > Trading() class start
[2020-07-30 17:41:42,779]    kiwoom.py |    kiwoom | __init__             | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:42:22,917]   trading.py |   trading | __init__             | 0021 | INFO     > Trading() class start
[2020-07-30 17:42:44,791] kiwoom.py       | kiwoom    | __init__             | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:42:52,907] trading.py      | trading   | __init__             | 0021 | INFO     > Trading() class start
[2020-07-30 17:43:12,741] kiwoom.py    | kiwoom    | __init__             | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:43:25,638] trading.py    | trading   | __init__             | 0021 | INFO     > Trading() class start
[2020-07-30 17:53:11,224] kiwoom.py | kiwoom | __init__ | 0016 | INFO     > Kiwoom() class start
[2020-07-30 17:53:23,777] trading.py | trading | __init__ | 0021 | INFO     > Trading() class start
